id,parentId,size
EuroVis2019,
Human_Centered_Computing,EuroVis2019,1
Computing_Methodologies,EuroVis2019,1
Applied_Computing,EuroVis2019,1
Social_And_Professional_Topics,EuroVis2019,1
Information_Systems,EuroVis2019,1
Mathematics_Of_Computing,EuroVis2019,1
General_And_Reference,EuroVis2019,1
"Visualization_Theory,_Concepts_And_Paradigms",Human_Centered_Computing,2
Geographic_Visualization,Human_Centered_Computing,2
Empirical_Studies_In_Visualization,Human_Centered_Computing,5
Laboratory_Experiments,Human_Centered_Computing,1
Visualization,Human_Centered_Computing,7
Human_Computer_Interaction_(Hci),Human_Centered_Computing,1
Mixed_/_Augmented_Reality,Human_Centered_Computing,1
Visualization_Design_And_Evaluation_Methods,Human_Centered_Computing,3
Visualization_Techniques,Human_Centered_Computing,5
Information_Visualization,Human_Centered_Computing,4
Visualization_Systems_And_Tools,Human_Centered_Computing,5
Interaction_Techniques,Human_Centered_Computing,2
Human_Computer_Interaction,Human_Centered_Computing,1
User_Studies,Human_Centered_Computing,1
Graph_Drawings,Human_Centered_Computing,2
User_Interface_Design,Human_Centered_Computing,1
Empirical_Studies_In_Hci,Human_Centered_Computing,1
Virtual_Reality,Human_Centered_Computing,2
Heat_Maps,Human_Centered_Computing,1
Scientific_Visualization,Human_Centered_Computing,10
Visual_Analytics,Visualization_Application_Domains,17
Visualization_Application_Domains,Visualization,2
Learning_Paradigms,Machine_Learning,1
Progressive_Computation,Computing_Methodologies,1
Model_Development_And_Analysis,Computing_Methodologies,1
Shared_Memory_Algorithms,Computing_Methodologies,1
Physical_Simulation,Computing_Methodologies,1
Reinforcement_Learning,Computing_Methodologies,1
Perception,Computing_Methodologies,1
Supervised_Learning,Computing_Methodologies,1
Ray_Tracing,Computing_Methodologies,2
Massively_Parallel_Algorithms,Computing_Methodologies,1
Non_Photorealistic_Rendering,Computing_Methodologies,1
Information_Extraction,Computing_Methodologies,1
Procedural_Animation,Computing_Methodologies,1
Machine_Learning,Computing_Methodologies,1
"Optimization_Algorithms""",Computing_Methodologies,1
Health_Care_Information_Systems,Applied_Computing,1
Environmental_Sciences,Applied_Computing,1
Document_Searching,Applied_Computing,1
Document_Preparation,Applied_Computing,1
E_Learning,Applied_Computing,1
Mathematics_And_Statistics,Applied_Computing,2
Astronomy,Applied_Computing,1
Business_Process_Monitoring,Applied_Computing,1
Media_Arts,Applied_Computing,1
Molecular_Structural_Biology,Applied_Computing,2
Life_And_Medical_Sciences,Applied_Computing,1
User_Characteristics,Social_And_Professional_Topics,1
Biomedical_Visualization,Human_Computer_Interaction,1
Document_Topic_Models,Information_Systems,1
Time_Series_Analysis,Mathematics_Of_Computing,1
Differential_Calculus,Mathematics_Of_Computing,1
Design,General_And_Reference,2
